Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Ticker
2020-09-24 00:00:00-04:00,83.46160770593764,86.40953074666048,82.55157272344796,85.09773254394531,3232600,0,0,0,ARKK
2020-09-25 00:00:00-04:00,85.28167032446333,87.91495738,85.21390223336347,87.85687255859375,1590900,0,0,0,ARKK
2020-09-28 00:00:00-04:00,89.95769268288268,90.08355298772317,88.06017870554545,88.79595184326172,1892800,0,0,0,ARKK
2020-09-29 00:00:00-04:00,88.83467381458733,90.40302314399251,88.81530728257344,89.81246948242188,1525700,0,0,0,ARKK
2020-09-30 00:00:00-04:00,89.88993230791453,90.56567811530017,88.40871002506742,89.06703186035156,2843500,0,0,0,ARKK
2020-10-01 00:00:00-04:00,90.41270751,91.52604675292969,89.95769001834466,91.52604675292969,2391400,0,0,0,ARKK
2020-10-02 00:00:00-04:00,88.64105027800899,91.06134988,88.63137439764016,89.37682342529297,2792100,0,0,0,ARKK
2020-10-05 00:00:00-04:00,90.57728688683287,92.90077590362371,90.57728688683287,92.83300781,1830400,0,0,0,ARKK
2020-10-06 00:00:00-04:00,92.88142213435233,94.78861944860158,91.85521006,92.62002563476562,2497300,0,0,0,ARKK
2020-10-07 00:00:00-04:00,94.00443901,96.83134728673889,94.00443901,96.04717254638672,3147300,0,0,0,ARKK
2020-10-08 00:00:00-04:00,98.61268310255657,98.61268310255657,96.99592481442322,97.36380767822266,2437400,0,0,0,ARKK
2020-10-09 00:00:00-04:00,98.41907076651734,99.74539027793905,98.08990616577272,99.48400115966797,2728200,0,0,0,ARKK
2020-10-12 00:00:00-04:00,101.42991059228127,101.65258140145555,98.99993515491606,99.06770324707031,3083200,0,0,0,ARKK
2020-10-13 00:00:00-04:00,99.51303371216797,101.84619855615733,98.90312091,101.48799896240234,3364100,0,0,0,ARKK
2020-10-14 00:00:00-04:00,102.28186200848566,102.76592192581293,100.20040288674477,100.4617919921875,3538300,0,0,0,ARKK
2020-10-15 00:00:00-04:00,98.16735376798844,99.79089263904076,97.89628139315394,99.55176544189453,2407700,0,0,0,ARKK
2020-10-16 00:00:00-04:00,100.76191910868243,101.16852768651238,99.42590894,99.48400115966797,2082400,0,0,0,ARKK
2020-10-19 00:00:00-04:00,100.79095305420668,101.21692813014097,98.61268350236291,98.99024963378906,2480800,0,0,0,ARKK
2020-10-20 00:00:00-04:00,99.56143983345541,99.98741492249283,97.53807293,97.61552429199219,2197900,0,0,0,ARKK
2020-10-21 00:00:00-04:00,96.95720733738779,97.55743693508563,94.58530920266743,94.82733917236328,2869800,0,0,0,ARKK
2020-10-22 00:00:00-04:00,95.99876714078214,96.65708154305061,93.76725061,95.43725586,2444800,0,0,0,ARKK
2020-10-23 00:00:00-04:00,95.96004261372424,96.01812744140625,94.30455854927203,96.01812744140625,1875300,0,0,0,ARKK
2020-10-26 00:00:00-04:00,95.03065128254677,96.6570856,92.80397259666609,94.10124969482422,2342200,0,0,0,ARKK
2020-10-27 00:00:00-04:00,94.72083361343532,95.83901813873197,94.52237467645709,95.48564910888672,1410200,0,0,0,ARKK
2020-10-28 00:00:00-04:00,93.23962720053511,93.29771941837284,91.34211304,91.72936248779297,2518900,0,0,0,ARKK
2020-10-29 00:00:00-04:00,92.55225106995815,93.38483469,91.90361257897088,92.92981719970703,2078500,0,0,0,ARKK
2020-10-30 00:00:00-04:00,91.97138292207237,92.11660237234082,87.08237487543182,87.89559936523438,4213700,0,0,0,ARKK
2020-11-02 00:00:00-05:00,89.03798719142723,89.57044869758955,86.54023611022366,87.90528869628906,3886200,0,0,0,ARKK
2020-11-03 00:00:00-05:00,89.28001320078539,90.79027779394151,88.05049686257793,90.19004821777344,2810300,0,0,0,ARKK
2020-11-04 00:00:00-05:00,92.87173607538153,95.18554189034698,92.18437187880966,94.40136719,4374700,0,0,0,ARKK
2020-11-05 00:00:00-05:00,97.51870772695783,97.76073766956938,96.04716153962573,97.60583496,4254400,0,0,0,ARKK
2020-11-06 00:00:00-05:00,97.92531665,99.35812977913467,96.43441131061108,98.82566833496094,3238600,0,0,0,ARKK
2020-11-09 00:00:00-05:00,101.6525802552711,102.13664016124858,94.27550463,94.32391357421875,4654000,0,0,0,ARKK
2020-11-10 00:00:00-05:00,94.15933611925898,94.50785984667729,88.87340276830551,91.73903656,4419800,0,0,0,ARKK
2020-11-11 00:00:00-05:00,93.70431892721867,95.63087531452447,92.94918664406202,95.58247375488281,4150700,0,0,0,ARKK
2020-11-12 00:00:00-05:00,96.42473757340083,97.19923642385724,95.18554532160533,95.73737335205078,2490600,0,0,0,ARKK
2020-11-13 00:00:00-05:00,96.76357874917024,97.47030950927602,95.55342890295165,96.23111724853516,1828100,0,0,0,ARKK
2020-11-16 00:00:00-05:00,96.47314722,96.80230443256299,95.07131152871665,96.36665344238281,2056900,0,0,0,ARKK
2020-11-17 00:00:00-05:00,97.44126580571171,98.02213624697863,96.46346267477519,98.00277709960938,2460800,0,0,0,ARKK
2020-11-18 00:00:00-05:00,98.26415446450629,99.15482286037135,97.35702968741961,97.79945373535156,2449500,0,0,0,ARKK
2020-11-19 00:00:00-05:00,98.01244953202497,100.5624797644611,98.01244953202497,99.96805572509766,2270200,0,0,0,ARKK
2020-11-20 00:00:00-05:00,100.48115727997997,102.13664129038442,99.88479806915402,101.55577087402344,2010900,0,0,0,ARKK
2020-11-23 00:00:00-05:00,102.88209071493797,104.82801363438105,102.23345220384631,103.99542999267578,3730200,0,0,0,ARKK
2020-11-24 00:00:00-05:00,105.6025155827184,105.90263037427023,102.53357741427466,102.75624084472656,3089400,0,0,0,ARKK
2020-11-25 00:00:00-05:00,103.01763679795766,105.07972941971926,102.54325275335158,105.02164459228516,2135900,0,0,0,ARKK
2020-11-27 00:00:00-05:00,106.34795914422422,108.26096187062578,105.61606376217829,108.2164306640625,1909500,0,0,0,ARKK
2020-11-30 00:00:00-05:00,110.03649592638804,110.13330642555873,105.33143328224992,108.7876205444336,3235700,0,0,0,ARKK
2020-12-01 00:00:00-05:00,110.3656581445375,110.55927915172741,108.56301953422482,109.16519165039062,3065300,0,0,0,ARKK
2020-12-02 00:00:00-05:00,107.90663266935985,108.88443574135604,106.10592923965785,108.75857543945312,2473300,0,0,0,ARKK
2020-12-03 00:00:00-05:00,109.90096844174714,111.8662581,109.34914039096196,110.6367416381836,2962400,0,0,0,ARKK
2020-12-04 00:00:00-05:00,112.14699656557445,113.61854283035603,111.10143277195057,113.45396423339844,3384400,0,0,0,ARKK
2020-12-07 00:00:00-05:00,115.21593675208904,118.12997196340484,114.50920606482298,116.83269500732422,4445100,0,0,0,ARKK
2020-12-08 00:00:00-05:00,117.40389055093584,118.99161389468425,116.31960104985765,118.27519989013672,4349600,0,0,0,ARKK
2020-12-09 00:00:00-05:00,119.93068313501288,121.5280823484441,114.97391428074746,116.15502166748047,7841700,0,0,0,ARKK
2020-12-10 00:00:00-05:00,113.99610576376395,121.32477231019999,113.96706335172566,121.2085952758789,5094500,0,0,0,ARKK
2020-12-11 00:00:00-05:00,120.95689316518003,121.82819509778106,117.80082047104659,119.92100524902344,5271100,0,0,0,ARKK
2020-12-14 00:00:00-05:00,122.07022393831582,123.58049587243784,120.24047807870447,120.28888702392578,4670500,0,0,0,ARKK
2020-12-15 00:00:00-05:00,122.41874721816089,122.41874721816089,119.31108350937146,120.33729553222656,4390600,0,0,0,ARKK
2020-12-16 00:00:00-05:00,120.72454878858608,121.1408406417675,118.61598966977856,119.99845886230469,3231600,0,0,0,ARKK
2020-12-17 00:00:00-05:00,121.34413445620758,122.50588266963716,120.8116729879494,122.05086517333984,3860700,0,0,0,ARKK
2020-12-18 00:00:00-05:00,123.50305018393455,124.11200283452655,121.92501747193225,123.24166107177734,4205100,0,0,0,ARKK
2020-12-21 00:00:00-05:00,122.92218336527397,128.76962098916195,122.22513586410359,127.15286254882812,6958900,0,0,0,ARKK
2020-12-22 00:00:00-05:00,130.1153115761228,131.4019526428004,128.44046824772593,130.74459838867188,7425100,0,0,0,ARKK
2020-12-23 00:00:00-05:00,132.64984470400137,132.7098647047578,128.57598899920134,130.65745544433594,7202900,0,0,0,ARKK
2020-12-24 00:00:00-05:00,131.31577967887154,131.74175478882336,128.19843248950096,128.7889862060547,4038300,0,0,0,ARKK
2020-12-28 00:00:00-05:00,131.22863783775085,131.51907672335025,125.58449780339932,125.66194915771484,9479800,0,0,0,ARKK
2020-12-29 00:00:00-05:00,126.4232653879148,126.58064643226247,118.82980259798761,122.28227233886719,10938400,2.044,0,0,ARKK
2020-12-30 00:00:00-05:00,123.72031086961357,125.45933694778255,123.50194954110802,125.01670837402344,5106300,0,0,0,ARKK
2020-12-31 00:00:00-05:00,125.62654624075154,125.64621511939883,121.93308953830652,122.4494857788086,5444800,0,0,0,ARKK
2021-01-04 00:00:00-05:00,124.15113029966612,125.1052322,120.43308944685008,122.64620971679688,8314400,0,0,0,ARKK
2021-01-05 00:00:00-05:00,122.34129018339976,125.7445766,122.04621197282334,125.6658935546875,5362200,0,0,0,ARKK
